Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",4,8.0,7.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",5,5.5,13.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",6,5.5,8.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Triceps Pushdown (Cable - Straight Bar)",1,22.0,12.0,0,0.0,"",,
2024-02-17 11:48:35,"lower",1h 26m,"Triceps Pushdown (Cable - Straight Bar)",2,22.0,8.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Triceps Pushdown (Cable - Straight Bar)",3,22.0,8.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Triceps Pushdown (Cable - Straight Bar)",4,21.0,7.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lat Pulldown (Cable)",1,55.0,9.0,0,0.0,"","",
2024-02-19 12:15:16,"upper",1h 13m,"Lat Pulldown (Cable)",2,55.0,9.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lat Pulldown (Cable)",3,55.0,8.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lat Pulldown (Cable)",4,55.0,8.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Bench Press (Barbell)",1,25.5,10.0,0,0.0,"",,
2024-02-19 12:15:16,"upper",1h 13m,"Bench Press (Barbell)",2,25.5,8.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Bench Press (Barbell)",3,25.5,7.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Bench Press (Barbell)",4,25.5,7.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Seated Row (Cable)",1,44.0,11.0,0,0.0,"",,
2024-02-19 12:15:16,"upper",1h 13m,"Seated Row (Cable)",2,44.0,10.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Seated Row (Cable)",3,44.0,9.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Seated Row (Cable)",4,44.0,9.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lateral Raise (Dumbbell)",1,6.0,10.0,0,0.0,"",,
2024-02-19 12:15:16,"upper",1h 13m,"Lateral Raise (Dumbbell)",2,6.0,10.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lateral Raise (Dumbbell)",3,6.0,10.0,0,0.0,,,
2024-02-19 12:15:16,"upper",1h 13m,"Lateral Raise (Dumbbell)",4,6.0,10.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",1,5.0,9.0,0,0.0,"","",
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",2,5.0,8.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",3,5.0,12.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",4,5.0,11.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",5,5.0,11.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Barbell)",6,5.0,8.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Skullcrusher (Dumbbell)",1,8.0,10.0,0,0.0,"",,
2024-02-20 14:26:02,"arms",1h 26m,"Skullcrusher (Dumbbell)",2,8.0,8.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Skullcrusher (Dumbbell)",3,7.0,9.0,0,0.0,,,
2024-02-20 14:26:02,"arms",1h 26m,"Bicep Curl (Dumbbell)",1,5.0,9.0,0,0.0,"",,
2024-02-21 14:37:18,"lower",51m,"Hack Squat",1,14.0,9.0,0,0.0,"","",
2024-02-21 14:37:18,"lower",51m,"Hack Squat",2,14.0,7.0,0,0.0,,,
2024-02-21 14:37:18,"lower",51m,"Hack Squat",3,14.0,6.0,0,0.0,,,
2024-02-21 14:37:18,"lower",51m,"Hack Squat",4,12.5,7.0,0,0.0,,,
2024-02-21 14:37:18,"lower",51m,"Lying Leg Curl (Machine)",1,37.0,12.0,0,0.0,"",,
2024-02-21 14:37:18,"lower",51m,"Lying Leg Curl (Machine)",2,37.0,8.0,0,0.0,,,
2024-02-21 14:37:18,"lower",51m,"Lying Leg Curl (Machine)",3,37.0,8.0,0,0.0,,,
2024-02-22 15:40:36,"upper",21m,"Lat Pulldown (Cable)",1,58.0,8.0,0,0.0,"","",
2024-02-22 15:40:36,"upper",21m,"Lat Pulldown (Cable)",2,58.0,8.0,0,0.0,,,
2024-02-22 15:40:36,"upper",21m,"Lat Pulldown (Cable)",3,57.0,8.0,0,0.0,,,
2024-02-22 15:40:36,"upper",21m,"Lat Pulldown (Cable)",4,54.0,8.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Bench Press (Barbell)",1,26.0,7.0,0,0.0,"","",
2024-02-24 10:50:38,"upper",1h 47m,"Bench Press (Barbell)",2,26.0,6.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Bench Press (Barbell)",3,25.0,7.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Bench Press (Barbell)",4,25.0,6.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Seated Row (Cable)",1,45.0,9.0,0,0.0,"",,
2024-02-24 10:50:38,"upper",1h 47m,"Seated Row (Cable)",2,45.0,10.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Seated Row (Cable)",3,45.0,9.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Seated Row (Cable)",4,45.0,8.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Seated Row (Cable)",D,39.0,4.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Lateral Raise (Cable)",1,4.4,10.0,0,0.0,"",,
2024-02-24 10:50:38,"upper",1h 47m,"Lateral Raise (Cable)",2,4.4,10.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Lateral Raise (Cable)",3,4.4,10.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Lateral Raise (Cable)",4,4.4,10.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Bicep Curl (Cable)",1,4.4,8.0,0,0.0,"",,
2024-02-24 10:50:38,"upper",1h 47m,"Bicep Curl (Cable)",2,4.4,8.0,0,0.0,,,
2024-02-24 10:50:38,"upper",1h 47m,"Bicep Curl (Cable)",3,4.4,9.0,0,0.0,,,
